,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
378,Dongling,20,cn,1535689219,79,32.28,121.37,88.28,7.76
379,Sept-Iles,75,ca,1535684400,62,50.2,-66.38,57.2,5.82
380,Nakhon Phanom,75,th,1535688000,79,17.4,104.79,84.2,6.93
381,Brown Deer,1,us,1535687700,76,43.16,-87.96,55.56,8.43
382,Boyolangu,0,id,1535689220,57,-8.09,111.9,84.41,5.64
383,Polunochnoye,0,ru,1535689220,82,60.87,60.43,46.7,5.41
384,Geraldton,5,ca,1535684400,87,49.72,-86.95,50.0,8.05
385,Vestmanna,76,fo,1535687400,93,62.16,-7.17,50.0,14.99
386,Ponorogo,0,id,1535689221,54,-7.87,111.46,83.69,3.96
387,Lufilufi,40,ws,1535684400,66,-13.87,-171.6,87.8,9.17
388,Kropotkin,68,ru,1535689222,85,45.43,40.58,70.01,9.78
389,Mahina,0,ml,1535689222,99,13.76,-10.85,71.27,7.99
390,Ancud,0,cl,1535689222,84,-41.87,-73.83,34.28,4.97
391,Mikhaylovka,80,ru,1535689223,84,52.96,103.29,62.18,3.51
392,Vanimo,56,pg,1535689223,100,-2.67,141.3,80.09,2.95
393,Eureka,90,us,1535687700,96,40.8,-124.16,56.21,3.51
394,Upington,0,za,1535684400,32,-28.46,21.24,55.4,4.7
395,Oranjemund,92,na,1535689224,100,-28.55,16.43,55.34,7.43
396,Strezhevoy,75,ru,1535686200,81,60.73,77.6,42.8,13.42
397,Sungaipenuh,80,id,1535689224,91,-2.08,101.38,71.36,2.17
398,Octeville,36,fr,1535687400,93,49.63,-1.64,55.56,2.24
399,Dauriya,0,ru,1535689225,63,49.93,116.85,72.98,5.19
400,Sur,0,om,1535689225,91,22.57,59.53,82.25,8.99
401,San Pedro,36,ar,1535689227,65,-33.68,-59.66,50.93,21.52
402,Hirara,40,jp,1535684400,70,24.8,125.28,87.8,8.05
403,Dong Hoi,20,vn,1535689227,84,17.48,106.6,85.4,20.29
404,Warri,92,ng,1535689227,99,5.52,5.75,71.0,3.62
405,Moroto,88,ug,1535689228,100,2.53,34.66,58.31,2.51
406,Teguise,36,es,1535686200,69,29.06,-13.56,73.4,13.87
407,Kuruman,20,za,1535689228,31,-27.46,23.43,56.51,13.13
408,Katobu,24,id,1535689229,71,-4.94,122.53,87.47,3.29
409,Opole Lubelskie,88,pl,1535689229,97,51.15,21.97,58.76,8.88
410,Seddon,92,nz,1535689229,100,-41.67,174.07,49.67,6.98
411,Tutoia,20,br,1535689229,81,-2.76,-42.27,78.56,10.0
412,Malanje,12,ao,1535689230,91,-9.54,16.35,54.98,2.39
413,Roald,20,no,1535687400,93,62.58,6.12,40.41,3.36
414,Macusani,12,pe,1535689230,90,-14.07,-70.43,40.76,1.83
415,Commerce,1,us,1535687760,83,34.2,-83.46,77.05,4.7
416,San Cristobal,0,ec,1535688000,93,-0.39,-78.55,44.6,2.24
417,Manokwari,68,id,1535689231,100,-0.87,134.08,80.63,1.61
418,Teluknaga,20,id,1535688000,49,-6.1,106.64,90.45,9.17
419,Tsagan Aman,48,ru,1535689232,57,47.57,46.72,67.67,12.24
420,Suicheng,88,cn,1535689232,86,33.9,117.93,83.96,13.58
421,Bayevo,20,ru,1535689232,69,53.27,80.77,61.91,4.52
422,Lewisporte,90,ca,1535685600,100,49.25,-55.06,57.2,12.75
423,Conceicao da Barra,68,br,1535689233,92,-18.59,-39.73,73.07,8.43
424,Smolenka,56,pl,1535689233,79,54.15,22.76,58.85,10.45
425,San Isidro,36,ph,1535689235,100,16.74,121.63,81.71,3.62
426,New Richmond,1,ca,1535684400,71,48.17,-65.87,57.2,5.82
427,Yeniseysk,68,ru,1535689235,73,58.45,92.17,61.28,3.4
428,San Patricio,92,py,1535689236,98,-26.98,-56.83,67.67,3.85
429,Lokossa,100,bj,1535689236,94,6.65,1.72,73.52,6.42
430,Iwanai,44,jp,1535689236,97,42.97,140.51,66.95,6.08
431,Liuhe,32,cn,1535689237,85,42.28,125.73,65.96,3.74
432,Biltine,12,td,1535689237,71,14.53,20.93,72.17,5.19
433,Cravo Norte,8,co,1535689237,92,6.3,-70.2,74.78,2.95
434,Lima,32,pe,1535689017,76,-12.06,-77.04,56.42,2.84
435,Tromso,92,no,1535689171,100,69.65,18.96,43.46,5.19
436,Matara,8,pe,1535689238,74,-13.74,-72.9,32.39,1.72
437,Souillac,75,fr,1535686200,87,45.6,-0.6,60.8,3.36
438,Meiganga,12,cm,1535689238,93,6.52,14.29,61.73,2.73
439,Hovd,40,no,1535687400,93,63.83,10.7,45.46,5.82
440,Santa Maria,75,br,1535684400,100,-29.69,-53.81,62.6,6.93
441,Maroantsetra,92,mg,1535689240,100,-15.43,49.74,65.24,7.65
442,Pierre,1,us,1535687580,67,44.37,-100.35,69.08,4.7
443,Beidao,80,cn,1535689241,83,34.57,105.89,71.45,8.32
444,Durusu,0,tr,1535688000,26,37.53,40.83,75.04,8.05
445,Mantua,20,it,1535684100,82,45.16,10.79,68.0,5.82
446,Sukabumi,44,id,1535689141,81,-6.92,106.93,77.84,6.08
447,The Valley,20,ai,1535688000,74,18.22,-63.06,82.4,6.93
448,Port Victoria,88,au,1535689242,98,-34.5,137.49,56.78,24.76
449,Sao Domingos do Maranhao,0,br,1535689242,43,-5.58,-44.39,76.13,6.64
450,Hami,24,cn,1535689097,47,42.84,93.51,76.13,0.94
451,Caraquet,1,ca,1535684400,71,47.79,-64.94,57.2,5.82
452,Yar-Sale,0,ru,1535689243,100,66.83,70.83,45.8,9.78
453,Nome,1,us,1535687580,87,30.04,-94.42,77.07,3.36
454,Hay River,75,ca,1535684400,81,60.82,-115.79,51.8,2.51
455,Monrovia,75,lr,1535684400,94,6.33,-10.8,75.2,5.3
456,Saint-Joseph,0,fr,1535686200,68,43.56,6.97,67.91,3.36
457,Broome,12,gb,1535687760,93,52.47,1.45,44.98,2.24
458,Tarko-Sale,0,ru,1535689245,72,64.92,77.78,44.27,15.59
459,Berlevag,75,no,1535683800,81,70.86,29.09,50.0,12.75
460,Wanaka,0,nz,1535689136,58,-44.7,169.14,49.85,2.73
461,Pasighat,44,in,1535689246,87,28.06,95.33,76.85,1.95
462,Annapolis,1,us,1535689200,82,38.98,-76.49,78.98,6.64
463,Taicheng,88,cn,1535689247,86,22.25,112.8,83.6,6.98
464,Lumsden,75,ca,1535688000,62,50.65,-104.86,53.6,8.05
465,Selty,0,ru,1535689247,85,57.31,52.14,50.75,7.65
466,Adrar,0,dz,1535684400,22,27.87,-0.29,86.0,14.99
467,Carmo do Cajuru,0,br,1535689248,75,-20.18,-44.77,60.83,9.89
468,Bilma,56,ne,1535689248,42,18.69,12.92,80.9,2.73
469,Mangrol,92,in,1535689248,100,25.33,76.51,73.97,10.0
470,Ust-Ilimsk,0,ru,1535689249,80,57.96,102.73,60.65,3.62
471,Garowe,8,so,1535689249,73,8.41,48.48,73.16,16.71
472,Vangaindrano,68,mg,1535689249,98,-23.35,47.6,59.75,2.73
473,Barcelona,75,es,1535688660,100,41.38,2.18,69.8,2.24
474,Mitu,0,ir,1535689250,70,36.2,46.09,52.73,1.95
475,Khor,32,ru,1535689250,83,47.88,134.96,63.8,11.68
476,Puerto Rondon,8,co,1535689251,92,6.28,-71.1,73.7,3.74
477,Coro,20,ve,1535684400,61,11.41,-69.67,82.4,10.33
478,Luganville,32,vu,1535689251,100,-15.51,167.18,78.74,15.7
479,Muli,68,in,1535689251,85,22.62,71.45,78.83,12.57
480,Erenhot,0,cn,1535689252,40,43.65,111.97,75.5,13.24
481,Yarim,12,ye,1535689252,31,14.3,44.38,63.35,5.41
482,Hays,1,us,1535687760,84,38.88,-99.33,74.98,9.17
483,Charters Towers,0,au,1535689253,74,-20.07,146.27,75.95,6.98
484,Gisborne,0,nz,1535688965,70,-38.66,178.02,59.93,10.45
485,Susaki,40,jp,1535688000,74,33.42,133.28,86.0,10.29
486,Christchurch,88,nz,1535688000,93,-43.53,172.64,46.4,18.34
487,Atasu,20,kz,1535689254,84,48.68,71.64,57.5,6.98
488,Talara,0,pe,1535689254,79,-4.58,-81.27,66.41,7.2
489,Saint Austell,0,gb,1535687400,93,50.34,-4.77,51.8,8.05
490,Ocos,75,gt,1535683260,88,14.51,-92.19,77.0,10.56
491,Hokitika,48,nz,1535689255,81,-42.72,170.96,56.24,1.95
492,Umm Lajj,0,sa,1535689255,100,25.02,37.27,78.2,4.97
493,Magomeni,40,tz,1535684400,94,-6.8,39.25,73.8,6.2
494,Lomianki,75,pl,1535688000,93,52.33,20.89,62.6,5.82
495,Kapit,8,my,1535689256,71,2.02,112.94,85.85,2.95
496,Lagunas,8,pe,1535689257,64,-5.23,-75.68,80.63,3.62
497,Batesville,1,us,1535687760,97,35.77,-91.64,71.35,2.84
498,Prince Rupert,90,ca,1535684400,93,54.32,-130.32,55.4,4.7
499,Etchoropo,8,mx,1535689206,71,26.77,-109.67,88.01,4.29
